City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Takaka,NZ,-46.2817,169.8464,55.85,95,100,6.78,light rain
296,Brae,GB,50.9188,-1.4904,50.07,79,75,1.99,broken clouds
297,Yumen,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
298,Dingzhou,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
299,Dyersburg,US,57.0531,-135.33,37.29,93,75,4.61,mist
300,Sistranda,NO,70.0311,20.9714,14.0,70,16,19.71,few clouds
301,Komsomolskiy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
302,Oranjestad,US,32.296,-81.2354,69.98,67,100,1.99,overcast clouds
303,Puerto Escondido,MX,22.8909,-109.9124,78.62,44,20,3.0,few clouds
304,Muros,ES,28.6585,-17.9182,65.12,61,0,8.01,clear sky
305,Gualeguay,AR,-51.6226,-69.2181,62.65,55,75,20.71,broken clouds
306,Dingle,PH,10.9995,122.6711,73.83,94,100,8.66,overcast clouds
307,Lensk,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
308,Labutta,MM,22.9167,96.5,47.59,64,0,1.99,clear sky
309,Ayagoz,KZ,50.4111,80.2275,-6.79,92,10,1.45,clear sky
310,Kochevo,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
311,Dikson,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
312,Port Pirie,AU,-42.7826,147.0587,53.74,72,55,1.01,broken clouds
313,Bairiki,KI,3.0707,172.7902,80.73,81,41,17.83,moderate rain
314,Kilindoni,TZ,-7.9139,39.6668,81.46,79,100,11.07,overcast clouds
315,Shimoda,JP,28.3667,129.4833,57.49,91,100,13.0,overcast clouds
316,Marawi,SS,8.5332,28.1004,79.56,20,41,2.89,scattered clouds
317,Sayyan,YE,15.1718,44.3244,52.2,56,55,4.34,broken clouds
318,Mitzic,GA,-1.5746,9.2618,78.64,84,79,4.74,light rain
319,Denizli,TR,37.8402,29.0698,49.05,95,100,5.93,overcast clouds
320,Sicuani,PE,-5.0892,-81.1144,84.76,65,5,16.2,clear sky
321,Russell,NZ,-46.2817,169.8464,55.85,95,100,6.78,light rain
322,Puga,MX,22.8909,-109.9124,78.62,44,20,3.0,few clouds
323,Mugur-Aksy,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
324,Talnakh,RU,71.6872,128.8694,-5.08,99,100,6.42,overcast clouds
325,Tual,ID,-3.8004,102.2655,75.9,90,99,4.27,overcast clouds
326,Safaga,EG,26.7292,33.9365,64.89,50,3,6.02,clear sky
327,Damphu,BT,27.0721,90.1096,44.94,90,65,4.36,broken clouds
328,Lasa,CN,38.9342,100.4517,22.21,36,70,9.1,broken clouds
329,Berlevag,NO,70.0311,20.9714,14.0,70,16,19.71,few clouds
330,Porgera,PG,-2.0226,147.2712,79.72,80,100,11.86,light rain
